"Transition","BayesFactor"
"Sukkur.to.Shiraz",1.58439585376002
"Sukkur.to.Tehran",1.3772401706976
"Sukkur.to.Turbat",2.26879436909786
"Tehran.to.Dera.Ghazi.Khan",1.06352612833826
"Tehran.to.Gujrat",1.51050245583046
"Tehran.to.Hirat",1.03664937422852
"Tehran.to.Kabul",2.51486915793314
"Tehran.to.Karachi",1.7992651243399
"Tehran.to.Kermanshah",3.05346237539859
"Tehran.to.Multan",1.02617440417961
"Tehran.to.Quetta",1.86652956555909
"Tehran.to.Rahim.Yar.Khan",1.07643509122213
"Tehran.to.Shiraz",2.49613309448076
"Tehran.to.Sukkur",1.06821617535298
"Tehran.to.Turbat",1.40737944885027
"Turbat.to.Dera.Ghazi.Khan",0.113837034600385
"Turbat.to.Gujrat",0.17193678218703
"Turbat.to.Hirat",0.0574632984888864
"Turbat.to.Kabul",0.333196430040803
"Turbat.to.Karachi",5.10332612160272
"Turbat.to.Kermanshah",0.269922503588783
"Turbat.to.Multan",0.218222831168183
"Turbat.to.Quetta",2.10557001431655
"Turbat.to.Rahim.Yar.Khan",0.107220870991516
"Turbat.to.Shiraz",0.362176611963318
"Turbat.to.Sukkur",3.38527390119824
"Turbat.to.Tehran",0.310349905165623
