"Dera.Ghazi.Khan.to.Gujrat","Dera.Ghazi.Khan.to.Multan","Dera.Ghazi.Khan.to.Rahim.Yar.Khan","Gujrat.to.Dera.Ghazi.Khan","Gujrat.to.Multan","Gujrat.to.Rahim.Yar.Khan","Hirat.to.Kabul","Kabul.to.Tehran","Multan.to.Dera.Ghazi.Khan","Multan.to.Gujrat","Multan.to.Rahim.Yar.Khan","Quetta.to.Karachi","Rahim.Yar.Khan.to.Dera.Ghazi.Khan","Shiraz.to.Tehran","Sukkur.to.Karachi","Tehran.to.Kermanshah","Turbat.to.Karachi","Turbat.to.Sukkur"
0.518718783439314,1.01409300029962,0.543805786271226,5.94692127668988,0,0,0.349220817070482,0,0,0,0,0.8064658445066,0,0,0,0,0.160928125710258,0
0,0.959175752214022,0.402065334405233,4.45849771081198,0,0,0.479136910167417,0,0,0,0,0,0,0,0,0,0.198938109147748,0
0,0.899559762935012,0.478849094225996,4.10062561495169,1.39898487177754,0,0.497523838229437,0,0,0.605546532395042,0,0,0,0,0,0,0.180323978049409,0
0,0.651304236662786,0.37084559568283,2.717206374295,1.61261337697854,0,0.473960974255498,0,0,1.30674281834197,0,0,0,0,0,0,0.288578241730893,0
0,0.859734225778387,0.822168532640415,0,0,0,0.33463575716262,0,0,1.20210729194824,0,0,0,0,0,0,0.175123894425088,0
0,1.35025085646688,0.456592108063043,0,0,0,0.221801443698907,0,0,1.29070805018068,0,0,0,0,0,0,0.0998858685423802,0
0,1.13279831568552,0.492404752454015,0,0,0,0.335993617712588,0,0,1.2453608580493,0,0,0,0,0,0,0.0332613319138126,0
0,0.674537337966567,0.985425138588067,1.90583340459861,0,0,0.265757451293085,0,0,1.20310854805525,0,0,1.29122082669325,0,0,0,0,0
0,1.0157806622549,0.606035959854569,2.77173770270137,0,0,0.234587227641515,0,0,2.26437932936058,0,0.804536790679505,2.16293442703162,0,0,0,0,0
0,0,0.644829126535725,1.12028160992174,0,0,0.274033225245496,0,0,1.32523078486033,0,0.640083763224503,0.877823944793629,0,0,1.26823230272883,0,0
0,0,1.3891654518112,0.216966257801576,0,0,0.180449965743296,0,0,0.522036525560281,0,0.885972141907774,0,0,0,0,0,0
0,0,1.07679935501308,0.24690808902783,0,0.191661441794713,0.181744087340059,0,0,1.24348793122659,0,1.80696327068901,0.612090072414726,0,0,0,0,0
0,0,1.70935093660078,0,0,0.306475978771481,0.499690553420874,0,0.349150138334236,1.58232143072264,0,1.37336345065488,0.529453978037782,0,0,0,0,0
0,0,2.35967416629207,0,0,0.113870252355399,0.762963988659835,0,0,2.20431913547313,0,0.921020412167656,1.28021218282663,0,0,0,0,0
0,0,1.39077484579094,0,0,0.202050473890791,0.396359927365815,0,0.382309612696902,1.79559003086921,0,1.26606588628499,1.04363158200576,0,0,0,0,0
0.543135245124585,0,0.779809562596857,0,0,0,1.04778786563021,0,0,1.32022063831269,0,0,0.870769751758955,0,0,0,0,0
0.856885196800086,0,0,0,0,0,0,0,0,1.14018677280762,0,0,1.16199438569906,0,0,0,0,0
0.790520315993901,0,0,0,0,0,0,0.449106844770216,0,1.60281967091294,0,0,3.42366616870035,0,0,0,0.00631183187025893,0
