"filteredrate","filteredrate.1","filteredrate.2","filteredrate.3","filteredrate.4","filteredrate.5","filteredrate.6","filteredrate.7","filteredrate.8","filteredrate.9","filteredrate.10","filteredrate.11","filteredrate.12","filteredrate.13","filteredrate.14","filteredrate.15","filteredrate.16","filteredrate.17","filteredrate.18"
0,1.397158523,2.040502561,0,0,1.144968702,0.972751024,0.636384378,0,4.56344606,0,0.112398283,0,0,0,0,0.253100294,0.082100359,0
0,2.433970713,1.330403304,0,0,2.427603116,0.555130851,0.481909273,0,6.039072841,0,0,0,0.900734175,0,0,0,0.054617978,0
0,2.691763425,0,0,0,1.964424846,0.570365358,0.911268515,0,4.597056397,0,0,0,0,0,0,0,0,0
0,2.85197948,0,0,0,2.296990423,0.375713829,0.755744868,0,0,0,0,0,0,0,0,0,0,0
0,1.522401422,0,0,0,6.972026127,0.153501308,0.328627305,0,0,0.671561867,0,0,0,0,0,0,0,0
0,1.548583911,0.39878742,0,0,2.588160197,0.317092498,0.435560896,0,0,1.079428662,0,0,0,0,0,0,0.097316447,0
0,0.704954604,0.263811617,0,0.973073826,0.968818708,0.190891842,0.586565688,0,0,0,0,1.776980768,0,0,0,0,0.084738476,0
0,0.339498749,0,2.57611892,0.632750378,0.296754207,0.237660284,0.548024447,1.099709764,0,0,0,0,0,0,0,0,0.031945933,0
0,0.239215214,0,2.139245947,0,0.309543818,0.203350082,0.703104819,0.494342868,0,0,0.107151376,0,0,0,0,0,0.039743202,0
0,0.241960282,0,4.682279711,0,0.411045545,0.282634983,1.108280488,0.522584634,0,0,0.171379955,0,0,0,0,0,0.053651226,0
0,0.3990933,0,3.708682694,0,0.220508749,0.284270955,0.959601886,1.331419877,0,0,0.166195459,0,0,0,0,0,0.102952978,0
0,0.501313448,0,0,0,1.358654465,0.328770304,1.464725451,0,0,0,0,0,0,0,0,0,0.125645175,0
0,0.364238117,0,3.933019662,0,2.20887117,0.340377159,2.325439383,0,1.24468051,0,0,0,1.514906171,0,0,0,0.06093338,0
0,0.405602412,0,2.470739178,0,1.008811394,0.383658173,0.816028056,0,0,0,0,0,0,0.344623184,0,0,0.211348935,0
0,0.510842329,0,0.826647507,0,1.578975918,0.623784018,0,0,0,0,0,0,0,0.400587619,0,0,0.205366982,0
0,0.965598107,0,0,0,0,0.304786792,0,0,0,0,0,0,0,0.15697939,0,0,0.131456097,0
0,1.585830316,0.226888244,1.767340116,0,0,0.484512544,0,0,0,0,0,0,0,0.245259557,0,0,0.204537566,0
0,1.788203166,0,2.091340859,0,0,0.635025727,0,0,0,0,0.04413796,0,0,0.632056065,0,0,0.152630295,0
